Year,Month,Primary_School,Date,High_School,Associates_Degree,Professional_Degree,White,Black,Asian,Hispanic,Men,Women
2012,Aug,11.8,Aug-2012,8.6,6.7,4.1,7.2,13.8,5.9,10.1,7.6,7.3
2013,Aug,11.1,Aug-2013,7.4,6.1,3.4,6.4,12.8,5.1,9.2,7.1,6.2
2014,Aug,9.2,Aug-2014,6.1,5.3,3.2,5.3,11.4,4.5,7.4,5.7,5.6
2015,Aug,7.9,Aug-2015,5.5,4.3,2.4,4.4,9.4,3.4,6.6,4.7,4.6
2016,Aug,7.4,Aug-2016,5.0,4.2,2.6,4.3,8.0,4.1,5.6,4.5,4.4
2017,Aug,6.1,Aug-2017,5.1,3.7,2.4,3.8,7.7,3.9,5.2,4.1,4.0
2018,Aug,5.7,Aug-2018,3.9,3.5,2.0,3.4,6.3,3.0,4.7,3.5,3.5
2019,Aug,5.4,Aug-2019,3.6,3.0,2.1,3.4,5.4,2.8,4.2,3.3,3.3
2020,Aug,,Aug-2020,,,,,,,,,
2010,Sep,15.6,Sep-2010,9.7,8.9,4.5,8.6,16.0,6.6,12.3,9.6,8.0
2011,Sep,14.3,Sep-2011,9.4,8.5,4.2,7.9,15.9,8.0,11.2,8.7,8.2
2012,Sep,11.7,Sep-2012,8.5,6.6,4.0,7.0,13.6,4.9,9.7,7.3,7.1
2013,Sep,10.5,Sep-2013,7.6,6.1,3.7,6.3,13.0,5.4,8.8,7.1,6.2
2014,Sep,8.5,Sep-2014,5.4,5.4,2.9,5.1,11.0,4.4,6.8,5.3,5.5
2015,Sep,7.9,Sep-2015,5.3,4.3,2.5,4.4,9.3,3.5,6.2,4.7,4.6
2016,Sep,8.5,Sep-2016,5.3,4.2,2.5,4.4,8.5,3.8,6.4,4.7,4.4
2017,Sep,6.7,Sep-2017,4.4,3.6,2.3,3.7,7.2,3.6,5.1,3.9,3.9
2018,Sep,5.7,Sep-2018,3.8,3.2,2.0,3.3,6.2,3.5,4.6,3.4,3.3
2019,Sep,4.8,Sep-2019,3.6,2.9,2.0,3.2,5.5,2.5,3.9,3.2,3.1
2020,Sep,,Sep-2020,,,,,,,,,
2010,Oct,15.0,Oct-2010,9.8,8.2,4.6,8.6,15.6,7.2,12.3,9.4,8.0
2011,Oct,13.5,Oct-2011,9.4,8.1,4.3,7.9,14.6,7.4,11.3,8.6,7.8
2012,Oct,12.1,Oct-2012,8.3,6.9,3.7,6.9,14.1,4.9,10.0,7.2,7.1
2013,Oct,10.9,Oct-2013,7.2,6.4,3.7,6.3,12.8,5.4,9.1,6.9,6.3
2014,Oct,8.1,Oct-2014,5.7,4.9,3.0,4.9,10.6,5.1,6.8,5.1,5.4
2015,Oct,7.6,Oct-2015,5.2,4.4,2.5,4.4,9.0,3.5,6.3,4.7,4.6
2016,Oct,7.4,Oct-2016,5.4,3.9,2.6,4.4,8.4,3.4,5.8,4.6,4.4
2017,Oct,5.9,Oct-2017,4.2,3.7,2.1,3.5,7.4,3.0,4.9,3.8,3.7
2018,Oct,5.9,Oct-2018,4.0,3.1,2.0,3.3,6.3,3.1,4.4,3.5,3.4
2019,Oct,5.5,Oct-2019,3.7,2.8,2.1,3.2,5.5,2.8,4.1,3.2,3.2
2020,Oct,,Oct-2020,,,,,,,,,
2010,Nov,15.4,Nov-2010,10.0,8.6,5.0,8.9,16.2,7.5,12.9,9.9,8.4
2011,Nov,12.8,Nov-2011,8.8,7.7,4.4,7.7,15.6,6.4,11.2,8.2,7.8
2012,Nov,12.0,Nov-2012,8.0,6.5,3.9,6.8,13.3,6.3,9.9,7.2,7.0
2013,Nov,10.7,Nov-2013,7.2,6.4,3.4,6.1,12.3,5.2,8.7,6.6,6.2
2014,Nov,8.6,Nov-2014,5.7,4.9,3.2,5.0,10.9,4.8,6.6,5.4,5.3
2015,Nov,6.8,Nov-2015,5.4,4.4,2.5,4.4,9.4,3.9,6.4,4.8,4.6
2016,Nov,7.8,Nov-2016,5.0,3.9,2.4,4.2,8.1,3.1,5.8,4.3,4.3
2017,Nov,5.2,Nov-2017,4.4,3.6,2.1,3.7,7.4,3.0,4.8,3.8,3.7
2018,Nov,5.6,Nov-2018,3.5,3.1,2.2,3.4,6.1,2.8,4.5,3.3,3.4
2019,Nov,5.3,Nov-2019,3.7,2.9,2.0,3.2,5.6,2.6,4.2,3.2,3.2
2020,Nov,,Nov-2020,,,,,,,,,
2010,Dec,15.0,Dec-2010,9.8,8.1,4.8,8.5,15.5,7.2,12.9,9.4,8.0
2011,Dec,13.7,Dec-2011,8.7,7.6,4.1,7.5,15.4,6.8,11.1,8.0,7.8
2012,Dec,11.8,Dec-2012,8.0,6.9,4.0,6.9,14.0,6.6,9.6,7.2,7.4
2013,Dec,9.8,Dec-2013,7.0,6.2,3.3,5.9,11.9,4.3,8.3,6.3,6.1
2014,Dec,8.6,Dec-2014,5.3,5.0,2.8,4.7,10.6,4.4,6.4,5.2,5.1
2015,Dec,6.4,Dec-2015,5.6,4.1,2.5,4.4,8.5,4.1,6.2,4.6,4.5
2016,Dec,7.5,Dec-2016,5.1,3.8,2.5,4.2,7.9,2.7,5.9,4.4,4.3
2017,Dec,6.2,Dec-2017,4.2,3.6,2.2,3.7,6.7,2.5,5.0,3.7,3.7
2018,Dec,5.8,Dec-2018,3.8,3.3,2.2,3.4,6.6,3.3,4.4,3.6,3.5
2019,Dec,5.2,Dec-2019,3.7,2.7,1.9,3.2,5.9,2.5,4.2,3.1,3.2
2020,Dec,,Dec-2020,,,,,,,,,
